,gender,int_or_dom,grad_year,fin_aid,c1_field,testing,legacy,ever_checked_out,calls_vga,last_had_sex,us_mil_action,asian,amind_alask,black,nathaw_pacisl,nw_hisp,white,pna_race,grad_year_lumped,wants_masks_in_class,wants_masks_in_student_space,wants_mand_testing,wants_none_of_above,unsure_covid_restrictions,pna_covid_restrictions,used_alcohol,used_cocaine,used_inhalants,used_lsd,used_marijuana,used_mdma,used_nicotine,used_shrooms,used_none_of_above,used_unsure,pna_drugs
449,Female,Domestic,2022.5,Grants covering some costs,SS,No,No,Yes,New Dorm,Less than one week ago,Unsure,0,0,0,0,0,1,0,2022.0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
450,Male,Domestic,2023.0,None,PS,Unsure,Unsure,Yes,New Dorm,Less than one week ago,Oppose,1,0,0,0,0,1,0,2023.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
451,Female,Domestic,2025.0,Grants covering some costs,PS,No,No,No,Greg,More than six months ago,Unsure,1,0,0,0,0,0,0,2025.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
452,Male,Domestic,2022.0,Grants covering some costs,PS,No,No,Yes,New Dorm,I’ve never had sex,Unsure,0,0,0,0,0,1,0,2022.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
453,Male,Domestic,2024.0,Grants covering some costs,PS,No,No,No,Greg,More than six months ago,Unsure,1,0,0,0,0,0,0,2024.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
454,Male,Domestic,2024.0,None,AH,Yes,No,Yes,Greg,Less than one week ago,Oppose,0,0,0,0,0,1,0,2024.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
455,Female,Domestic,2024.0,None,PS,Unsure,No,No,Greg,Less than one month ago,Favor,1,0,0,0,0,0,0,2024.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
456,Female,Domestic,2023.0,Grants covering some costs,LS,No,No,Yes,New Dorm,Less than one month ago,Oppose,0,0,0,0,0,1,0,2023.0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
457,Female,Domestic,2024.0,None,SS,Unsure,No,No,Greg,Less than one week ago,Favor,1,0,0,0,0,0,0,2024.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
458,Female,Domestic,2024.0,None,SS,Yes,No,No,Greg,I’ve never had sex,Unsure,0,0,0,0,0,0,1,2024.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
459,Male,International,2025.0,None,PS,No,No,Yes,Unsure,I’ve never had sex,Prefer not to answer,0,0,1,0,0,0,0,2025.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
460,Female,Unsure,2025.0,None,SS,Unsure,No,No,New Dorm,Prefer not to answer,Unsure,1,0,0,0,0,0,0,2025.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
461,Male,Domestic,2023.0,None,PS,No,Unsure,No,New Dorm,Less than one month ago,Unsure,1,0,0,0,0,0,0,2023.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
462,Non-binary,Domestic,2024.0,Grants covering some costs,PS,No,No,Yes,Greg,Less than one week ago,Favor,0,0,0,0,0,1,0,2024.0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0
463,Female,Domestic,2024.0,None,LS,No,Yes,No,Greg,I’ve never had sex,Unsure,1,0,0,0,0,0,0,2024.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
464,Female,Domestic,2024.0,None,SS,No,No,No,Greg,Less than one month ago,Oppose,0,1,0,0,0,0,0,2024.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
465,Female,Domestic,2025.0,Grants covering some costs,LS,Yes,Yes,Yes,Unsure,I’ve never had sex,Favor,0,0,0,0,0,1,0,2025.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
466,Male,Domestic,2025.0,Prefer not to answer,PS,Yes,Yes,No,Other,Prefer not to answer,Prefer not to answer,0,0,0,0,0,1,0,2025.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
467,Female,Domestic,2023.0,Grants covering some costs,PS,Unsure,Unsure,No,New Dorm,I’ve never had sex,Unsure,1,0,0,0,0,0,0,2023.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
468,Male,Domestic,2023.0,None,LS,Yes,No,No,New Dorm,Less than one week ago,Oppose,1,0,0,0,0,0,0,2023.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
469,Male,Domestic,2025.0,Grants covering all costs,LS,Yes,Yes,No,New Dorm,I’ve never had sex,Oppose,0,0,0,0,0,1,0,2025.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
470,Female,Domestic,2022.0,Grants covering some costs,PS,Yes,Yes,No,New Dorm,I’ve never had sex,Favor,1,0,0,0,0,0,0,2022.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
471,Male,International,2025.0,None,PS,Unsure,No,Yes,Greg,Less than one week ago,Favor,1,0,0,0,0,0,0,2025.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
472,Female,Domestic,2023.0,Grants covering some costs,LS,No,Unsure,No,New Dorm,Less than one week ago,Unsure,0,0,0,0,0,1,0,2023.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
473,Male,Domestic,2022.0,Grants covering all costs,IC,Yes,No,No,Unsure,Less than one week ago,Oppose,0,0,0,0,0,1,0,2022.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
474,Male,Domestic,2025.0,None,AH,No,No,No,New Dorm,Less than one week ago,Unsure,0,0,0,0,0,1,0,2025.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
475,Male,Domestic,2025.0,Grants covering some costs,PS,Unsure,Unsure,No,New Dorm,Less than one month ago,Unsure,1,0,0,0,0,0,0,2025.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
476,Male,Domestic,2024.0,Grants covering some costs,PS,No,Unsure,No,Greg,Unsure,Oppose,1,0,0,0,0,0,0,2024.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
477,Female,Domestic,2025.0,Grants covering some costs,U,No,Unsure,No,Other,Less than six months ago,Unsure,1,0,0,0,0,0,0,2025.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
478,Non-binary,International,2022.5,Grants covering all costs,SS,No,No,Yes,New Dorm,Less than one week ago,Oppose,0,0,1,1,0,0,0,2022.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0
479,Female,Domestic,2025.0,Grants covering all costs,LS,No,No,Yes,New Dorm,Prefer not to answer,Favor,0,0,0,0,0,1,0,2025.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
480,Male,Domestic,2025.0,Grants covering some costs,SS,Unsure,No,No,New Dorm,More than six months ago,Oppose,0,0,0,0,1,1,0,2025.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
481,Female,Domestic,2025.0,Grants covering some costs,AH,No,No,Yes,Greg,Prefer not to answer,Unsure,0,0,0,0,0,1,0,2025.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
482,Female,Domestic,2022.5,None,LS,Yes,No,No,New Dorm,Less than one week ago,Oppose,0,0,0,0,0,1,0,2022.0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
483,Female,Domestic,2024.0,Grants covering some costs,LS,Unsure,No,No,Greg,Less than one month ago,Unsure,0,0,0,0,0,1,0,2024.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
484,Male,Domestic,2022.0,None,LS,Yes,No,Yes,New Dorm,Less than one week ago,Oppose,1,0,0,0,0,0,0,2022.0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0
485,Male,Domestic,2023.0,Grants covering some costs,PS,Unsure,Yes,Yes,Greg,Less than one week ago,Unsure,0,0,0,0,0,1,0,2023.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
